CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,19,15,39
2,Male,21,15,81
3,Female,20,15,6
4,Female,23,15,77
5,Female,31,15,40
6,Female,22,15,76
7,Female,35,15,6
8,Female,23,15,94
9,Male,64,15,3
10,Female,30,15,72
11,Male,67,15,14
12,Female,35,15,99
13,Female,58,15,15
14,Female,24,15,77
15,Male,37,15,13
16,Male,22,15,79
17,Female,35,15,35
18,Male,20,15,66
19,Male,52,15,29
20,Female,35,15,98
21,Male,35,15,35
22,Male,25,15,73
23,Female,46,15,5
24,Male,31,15,73
25,Female,54,15,14
26,Male,29,15,82
27,Female,45,15,32
28,Male,35,15,61
29,Female,40,15,31
30,Female,23,15,87
31,Male,60,15,4
32,Female,21,15,73
33,Male,53,15,4
34,Male,18,15,92
35,Female,49,15,14
36,Female,21,15,81
37,Female,42,15,17
38,Female,30,15,73
39,Female,36,15,26
40,Female,20,15,75
41,Female,65,15,35
42,Male,24,15,92
43,Male,48,15,36
44,Female,31,15,61
45,Female,49,15,28
46,Female,24,15,65
47,Female,50,15,55
48,Female,27,15,47
49,Female,29,15,42
50,Female,31,15,42
51,Female,49,15,52
52,Male,33,15,60
53,Female,31,15,54
54,Male,59,15,60
55,Female,50,15,45
56,Male,47,15,41
57,Female,51,15,50
58,Male,69,15,46
59,Female,27,15,51
60,Male,53,15,46
61,Male,70,15,56
62,Male,19,15,55
63,Female,67,15,52
64,Female,54,15,59
65,Male,63,15,51
66,Male,18,15,59
67,Female,43,15,50
68,Female,68,15,48
69,Male,19,15,59
70,Female,32,15,47
71,Male,70,15,55
72,Female,47,15,42
73,Female,60,15,49
74,Female,60,15,56
75,Male,59,15,47
76,Male,26,15,54
77,Female,45,15,53
78,Male,40,15,48
79,Female,23,15,52
80,Female,49,15,42
81,Male,57,15,51
82,Male,38,15,55
83,Male,67,15,41
84,Female,46,15,44
85,Female,21,15,57
86,Male,48,15,46
87,Female,55,15,58
88,Female,22,15,55
89,Female,34,15,60
90,Female,50,15,46
91,Female,68,15,55
92,Male,18,15,41
93,Male,48,15,49
94,Female,40,15,40
95,Female,32,15,42
96,Male,24,15,52
97,Female,47,15,47
98,Female,27,15,50
99,Male,48,15,42
100,Male,20,15,49
101,Female,23,15,41
102,Female,49,15,48
103,Male,67,15,59
104,Male,26,15,55
105,Male,49,15,56
106,Female,21,15,42
107,Female,66,15,50
108,Male,54,15,46
109,Male,68,15,43
110,Male,66,15,48
111,Male,65,15,52
112,Female,19,15,54
113,Female,38,15,42
114,Male,19,15,46
115,Female,18,15,48
116,Female,19,15,50
117,Female,63,15,43
118,Female,49,15,59
119,Female,51,15,43
120,Female,50,15,57
121,Male,27,15,56
122,Female,38,15,40
123,Female,40,15,58
124,Male,39,15,91
125,Female,23,15,29
126,Female,31,15,77
127,Male,43,15,35
128,Male,40,15,95
129,Male,59,15,11
130,Male,38,15,75
131,Male,47,15,9
132,Male,39,15,75
133,Female,25,15,34
134,Female,31,15,71
135,Male,20,15,5
136,Female,29,15,88
137,Female,44,15,7
138,Male,32,15,73
139,Male,19,15,10
140,Female,35,15,72
141,Female,57,15,5
142,Male,32,15,93
143,Female,28,15,40
144,Female,32,15,87
145,Male,25,15,12
146,Male,28,15,97
147,Male,48,15,36
148,Female,32,15,74
149,Female,34,15,22
150,Male,34,15,90
151,Male,43,15,17
152,Male,39,15,88
153,Female,44,15,20
154,Female,38,15,76
155,Female,47,15,16
156,Female,27,15,89
157,Male,37,15,1
158,Female,30,15,78
159,Male,34,15,1
160,Female,30,15,73
161,Female,56,15,35
162,Female,29,15,83
163,Male,19,15,5
164,Female,31,15,93
165,Male,50,15,26
166,Female,36,15,75
167,Male,42,15,20
168,Female,33,15,95
169,Female,36,15,27
170,Male,32,15,63
171,Male,40,15,13
172,Male,28,15,75
173,Male,36,15,10
174,Male,36,15,92
175,Female,52,15,13
176,Female,30,15,86
177,Male,58,15,15
178,Male,27,15,69
179,Male,59,15,14
180,Male,35,15,90
181,Female,37,15,32
182,Female,32,15,86
183,Male,46,15,15
184,Female,29,15,88
185,Female,41,15,39
186,Male,30,15,97
187,Female,54,15,24
188,Male,28,15,68
189,Female,41,15,17
190,Female,36,15,85
191,Female,34,15,23
192,Female,32,15,69
193,Male,33,15,8
194,Female,38,15,91
195,Female,47,15,16
196,Female,35,15,79
197,Female,45,15,28
198,Male,32,15,74
199,Male,32,15,18
200,Male,30,15,83
